UID,ObsDate,Log,Observer,Time,Male1ID,FemID,Bird2ID,FemOnOff,FemUpDown,Behavior,MaleOtherBeh1
44,9/12/2017,Luis,NC,113.491,296,NA,NA,Female Off Log,NA,Male1 On Log No Display,NA
44,9/12/2017,Luis,NC,118.749,296,NA,NA,Female Off Log,NA,End,NA
60,9/13/2017,Luis,NC,0,296,NA,NA,Female Off Log,NA,Start,
60,9/13/2017,Luis,NC,8.165,296,NA,NA,Female Off Log,NA,Male1 On Log No Display,
60,9/13/2017,Luis,NC,11.431,296,NA,NA,Female Off Log,NA,Male1 SLAD,
60,9/13/2017,Luis,NC,13.179,296,NA,NA,Female Off Log,NA,Male1 On Log No Display,
60,9/13/2017,Luis,NC,20.176,296,NA,NA,Female Off Log,NA,Male1 Other Behavior,Vocalization
60,9/13/2017,Luis,NC,20.176,296,NA,NA,Female Off Log,NA,Male1 SLAD,
60,9/13/2017,Luis,NC,21.677,296,NA,NA,Female Off Log,NA,Male1 Other Behavior,Gardening
60,9/13/2017,Luis,NC,24.936,296,NA,NA,Female Off Log,NA,Male1 Other Behavior,Gardening
60,9/13/2017,Luis,NC,27.685,296,NA,NA,Female Off Log,NA,Male1 On Log No Display,
60,9/13/2017,Luis,NC,34.938,296,NA,NA,Female Off Log,NA,Male1 SLAD,
60,9/13/2017,Luis,NC,35.434,296,NA,NA,Female Off Log,NA,Male1 Other Behavior,Vocalization
60,9/13/2017,Luis,NC,38.951,296,NA,NA,Female Off Log,NA,Male1 On Log No Display,
60,9/13/2017,Luis,NC,39.995,296,NA,NA,Female Off Log,NA,Male1 On Log No Display,
60,9/13/2017,Luis,NC,49.701,296,NA,NA,Female Off Log,NA,Male1 SLAD,
60,9/13/2017,Luis,NC,50.198,296,NA,NA,Female Off Log,NA,Male1 Other Behavior,Vocalization
60,9/13/2017,Luis,NC,53.711,296,NA,NA,Female Off Log,NA,Male1 On Log No Display,
60,9/13/2017,Luis,NC,65.979,296,NA,NA,Female Off Log,NA,Male1 On Log No Display,
60,9/13/2017,Luis,NC,72.229,296,NA,NA,Female Off Log,NA,Male1 SLAD,
60,9/13/2017,Luis,NC,72.805,296,NA,NA,Female Off Log,NA,Male1 Other Behavior,Vocalization
60,9/13/2017,Luis,NC,74.02,296,NA,NA,Female Off Log,NA,Male1 Other Behavior,Gardening
60,9/13/2017,Luis,NC,74.729,296,NA,NA,Female Off Log,NA,Male1 Other Behavior,Gardening
60,9/13/2017,Luis,NC,75.73,296,NA,NA,Female Off Log,NA,Male1 On Log No Display,
60,9/13/2017,Luis,NC,88.228,296,NA,NA,Female Off Log,NA,End,
72,9/16/2017,First,NC,0,965,NA,NA,Female Off Log,NA,Start,
72,9/16/2017,First,NC,4.825,965,NA,NA,Female Off Log,NA,Male1 Half-bow Right,
72,9/16/2017,First,NC,9.411,965,NA,NA,Female Off Log,NA,Male1 BowRight,
72,9/16/2017,First,NC,9.911,965,NA,NA,Female Off Log,NA,Male1 BowLeft,
72,9/16/2017,First,NC,21.924,965,NA,NA,Female Off Log,NA,Male1 SLAD,
72,9/16/2017,First,NC,22.176,965,NA,NA,Female Off Log,NA,Male1 Other Behavior,Vocalization
72,9/16/2017,First,NC,23.036,965,NA,NA,Female Off Log,NA,Male1 On Log No Display,
72,9/16/2017,First,NC,29.944,965,NA,NA,Female Off Log,NA,Male1 On Log No Display,
72,9/16/2017,First,NC,91.996,965,NA,NA,Female Off Log,NA,Male1 Half-bow Right,
72,9/16/2017,First,NC,99.011,965,NA,NA,Female Off Log,NA,Male1 ALAD,
72,9/16/2017,First,NC,100.507,965,NA,NA,Female Off Log,NA,Male1 Other Behavior,Gardening
